NPS_Grupo;COMENTARIO_NPS;TACTICO;1ERA CAUSA RAIZ
Detractor;Cobran antes de fin de mes, quien tiene plata en esos dias? ;CONVENIENCIA;Precio
Detractor;Creo que a menos que tengas un descuento los precios son altisimos para la media de la gente. Como mucho recomendaria un plan de prepago pero sinceramente no veo que tengan mas beneficios que los demas salvo su buena cobertura ;CONVENIENCIA;Precio
Promotor;Buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Me gustaria que me ragalaxen algunos megas de vez en cuando;CONVENIENCIA;Beneficios
Promotor;Muy buen nivel de atencion y buena predisposicion para solucionar los inconvenientes ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es bueno el Internet pero yo nunca pedi que me pase mi numero de telefono abono  ese mi queja;RELACIONAMIENTO;Atencion a Clientes
Promotor;Siempre con linea;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Poca senal ;CONVENIENCIA;Precio
Promotor;;CONVENIENCIA;Precio
Pasivo;Bueno recepcion ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Mal sservicio,,promos q no se cumplen con las fechas estipuladas,,prefierp el prepago al abono;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Llevo 3 semanas sin 4 g;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy conforme ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Si bièn tengo bonificaciones, igual el costo es alto ( estoy jubilada);CONVENIENCIA;Precio
Detractor;Precio alto ;CONVENIENCIA;Precio
Promotor;Desde que la tengo no he tenido problemas ni con la linea, ni con la utilizacion, ni con el personal que me ha atendido;CONVENIENCIA;Beneficios
Promotor;Tiene excelente comunicacion. ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;A gusto;CONVENIENCIA;Planes
Promotor;Muy buena;CONVENIENCIA;Beneficios
Promotor;Exelente ;CONVENIENCIA;Precio
Detractor;Son unos forr@s ;RELACIONAMIENTO;Atencion a Clientes
Promotor;10 diez ;CONVENIENCIA;Precio
Promotor;excelente atencion y solucion del ptoblema;RELACIONAMIENTO;Atencion a Clientes
Pasivo;.;RELACIONAMIENTO;Atencion a Clientes
Promotor;buena calidad en el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Fui correctamente atendido y asesorado por el personal tecnico.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Porque si te dan una solucion  nunca es 100%,ya que hay que esperar, o hacer otras cosas ;RELACIONAMIENTO;Atencion a Clientes
Detractor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;No funciona ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Atencion;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Sigan asi. No cambien. Gracias ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Aumentos indiscriminados todos los meses. ;CONVENIENCIA;Precio
Promotor;"Positivo Buen servicio. Negativo ""los precios""";RELACIONAMIENTO;Atencion a Clientes
Pasivo;Se entiende al usuario cuando realiza una consulta o reclamo;RELACIONAMIENTO;Atencion a Clientes
Promotor;;CONVENIENCIA;Precio
Promotor;buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Ll eficas ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Muy malo el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me resulto eficiencia ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El servicio es muy bueno pero me gustaria poder mejorar mi plan desde la app;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Te dicen  un precio y van subiendo todos los meses  voy a esperar a ver la boleta de este mes y me paso a claro;CONVENIENCIA;Precio
Detractor;precios muy altos;CONVENIENCIA;Precio
Promotor;es buena;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me solucionan siempre mis problemas;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caro;CONVENIENCIA;Precio
Detractor;Los aumentos recurrentes y sin previo aviso ;CONVENIENCIA;Precio
Pasivo;Es bueno;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;todo ok;CONVENIENCIA;Precio
Detractor;TODAVIA MI LINEA FIGURA DE BAJA Y NO ME LLEGAN LAS FACTURAS ;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;es buena la atencion y sobre todo con los jubilados;RELACIONAMIENTO;Atencion a Clientes
Promotor;Solucion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por la excelente atencion y calidad del servicio que ofrecen ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro ;CONVENIENCIA;Precio
Detractor;No solucionar la falta de internet y el tecnico de la 2 vez no vino mintio que vino ,compre otro celular muchas diferencia de precio en el mismo celu. Listo espero los 11 dias sin internet no lo factures en casa y celu. Buen dia ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Conforme con el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente ;CONVENIENCIA;Beneficios
Promotor;Buen servicio ;CONVENIENCIA;Promociones
Pasivo;Me parece muy alta la cuota para recomendar ;CONVENIENCIA;Precio
Detractor;Costo alta;CONVENIENCIA;Precio
Pasivo;Funciona;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;porque lo considero asi. ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Puedo comunicarme desde cualquier lugar de Argentina ;CONVENIENCIA;Beneficios
Pasivo;DEBERIAN AVISAR CON ANTICIPACION EL AUMENTO DEL SERVICIO POR MENSAJE DE WHATSAPP;CONVENIENCIA;Precio
Detractor;Hice una transferencia de mercado pago a personal pay, supuestamente personal me devolvio y no veo mi plata en mercado pago ;CONVENIENCIA;Beneficios
Detractor;funciona bien, tiene muchos problemas para la parte adminitrativa y soluciòn de problemas;CONVENIENCIA;Precio
Detractor;Es muy caro y no tiene promociones para las personas que hace anos consume su compania.;CONVENIENCIA;Precio
Promotor;Siempre me han orientado y ayudado a resolver las dificultades.;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Estan subiendo mucho los precios;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me encanta Personal ;RELACIONAMIENTO;Atencion a Clientes
Promotor;El servicio es excelente en calidad y precio;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Estoy conforme. ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;LA ATENCION DE LA SUPERVISORA;RELACIONAMIENTO;Atencion a Clientes
Detractor;pedi un descto xq tengo cable y 3 lineas;CONVENIENCIA;Precio
Promotor;Estan poco elevado los costos ;CONVENIENCIA;Precio
Detractor;Tengo problemas de conectividad y bajada de datos.;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;;CONVENIENCIA;Precio
Promotor;Muy buen servicio y atencion al cliente, buena cobertura de senal ;RELACIONAMIENTO;Atencion a Clientes
Promotor;promociones y servicios;CONVENIENCIA;Promociones
Pasivo;conforme;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Me molestan los aumentos y tener que estar recordandoles que hace mas de 20 anos que soy clienta y tengo la linea. No valoran un carajo la lealtad. Yo no les tengo que venir a recodar la renovacion de la promocion cada tres meses por ser clienta leal. Tengo la cuenta en debito automatico hace anos. Jamas me retraso. Te tengo que venir a contar eso para que me renueves la promocion o me bajes el costo? Me tienen harta. ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;muy costoso;CONVENIENCIA;Precio
Detractor;Me cobraron 2 veces la misma factura, tuve que ir 2 veces porque no lo pude resolver telefonicamente ... ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena experiencia ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;El servicio que prestan funciona siempre bien, y la atencion en el local es excelente;RELACIONAMIENTO;Atencion a Clientes
Promotor;nunca e tenido ningun problema;RELACIONAMIENTO;Atencion a Clientes
Promotor;Calidad de servicio !;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El precio;CONVENIENCIA;Precio
Detractor;Porque querria que pueda ser menos costoso;CONVENIENCIA;Precio
Promotor;LOS BENEFICIOS Y LAS PROMO PARA QUE PUEDA SEGUIR CON MI PLAN;CONVENIENCIA;Promociones
Pasivo;El alto costo de las boletas;CONVENIENCIA;Precio
Pasivo;Porque aumentan sin previo aviso mes a mes.;RELACIONAMIENTO;Facturacion y Pago 
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Estoy conforme pero siempre hay cosas que mejorar;RELACIONAMIENTO;Atencion a Clientes
Detractor;;CONVENIENCIA;Beneficios
Promotor;Excelente atencion telefonica;RELACIONAMIENTO;Atencion a Clientes
Detractor;Planes muy caros para lo que ofrecen ;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Servicio muy caro ;CONVENIENCIA;Precio
Promotor;Siempre tengo Internet ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Aumentan por encima de la inflacion ;CONVENIENCIA;Precio
Promotor;La efectividad y ka responsabilidad de solucionar rapudo y eficaz y muy buena ka amabilidad prestada,para solucionar mi solicitud.;RELACIONAMIENTO;Atencion a Clientes
Pasivo;En lineas generales estoy conforme.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Me estan jodiendo? Hice una recarga de $4000 a la linea prepaga..el Sistema la tomo como deuda y me la cargo a mi factura de la linea 2494681717 tras lo cua me comunique con tres representantes que me trataron mal y me derivaron al WhatsApp donde tampoco resolvieron nada. Hace 2 horas volvi a cimunicarme al *111 donde un representante muy amable prometio llamarme el miercoles para resolver este problema ajeno a mi;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy elevado la facturacion ;CONVENIENCIA;Precio
Promotor;Atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Servicio excesivamente caro;CONVENIENCIA;Precio
Detractor;Bueno ;CONVENIENCIA;Packs
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;buen servicios;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No puedo recibir llamadas de otras compania y nadie jamas pudo solucionarlo ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Equilibrio entre precio y servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;Porque dan buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena atencion.precio;RELACIONAMIENTO;Atencion a Clientes
Detractor;Llame para hacer un descargo y me suspendieron la linea;RELACIONAMIENTO;Atencion a Clientes
Promotor;se acomodan a la economia actual;RELACIONAMIENTO;Atencion a Clientes
Promotor;La excelente atencion de la Sta. Carla Lobato.;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es re caro hermano,estan locos;CONVENIENCIA;Precio
Promotor;Tecnicamente bien. Un poco costoso pero puedo manejarlo con ofertas etc. ;CONVENIENCIA;Beneficios
Detractor;Bastante caro x el servicio q brindan ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Cada mes voy pagando mas ;CONVENIENCIA;Precio
Promotor;El servicio es muy bueno;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buena atencion al cliente!!;RELACIONAMIENTO;Atencion a Clientes
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Hace 3 dias que no tengo telefono por ineficiencia de uds ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No es muy bueno;CONVENIENCIA;Precio
Promotor;Buen servicio, un poco caro.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;siempre se puede mejorar;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No me gusta el plan ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Un buen abono;CONVENIENCIA;Promociones
Detractor;El precio;CONVENIENCIA;Precio
Detractor;Carisimo;CONVENIENCIA;Precio
Detractor;Pague una factura y la reclaman llamando a personas sin mi autorizacion!!! Una vergüenza ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Amplie el plan y me dijeron que me duplicaban por 12 meses los gigas y no me duplicaron nada... Despues compre pack de wifi pass y cuando  pongo el telefono para usar la tablet me consume  los gigas del abono y muy poco de pac. Me tendrian que devolver el dinero del pack porque no funciona k;RELACIONAMIENTO;Atencion a Clientes
Promotor;MUY BUENA ATENCION;RELACIONAMIENTO;Atencion a Clientes
Detractor;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No hay buena recepcion de senal segun lugar donde se este.  Comparado con otras companias que si tienen.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El precio aumenta todo el tiempo, en otras companias me han ofrecido mejores planes;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;La conexion a internet es muy inestable.....muy caro;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Generalmente no tengo problemas con telefonia movil ;CONVENIENCIA;Beneficios
Promotor;No tengo problemas y ese seria el motivo;RELACIONAMIENTO;Atencion a Clientes
Detractor;????;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelente  servicio. ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Buen servicio tanto telefonia como datos de internet ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Siempre hay cosas para mejorar;CONVENIENCIA;Precio
Promotor;Varios servicios sincronizados, con descuentos importantes ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Calidad del servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;El servicio es bueno, falta para ser muy bueno. Es dificil poder hablar con un operador.;RELACIONAMIENTO;Atencion a Clientes
Promotor;2664226397;CONVENIENCIA;Planes
Detractor;fluctuacion del costo mensual;CONVENIENCIA;Precio
Detractor;poco alcance se escucha mal y el internet es malo ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena relacion precio, calidad ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;me parece carp;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Es buena compania solo se corta a veces la senal ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;aunque es caro siempre tengo senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Es una calificacion correcta ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Aumentos permanentes;CONVENIENCIA;Precio
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buena atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Hasta el momento me resulto muy util la velocidad de los megas de mi abono y los pack de gigas en el momento de usar mis aplicaciones ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Promos;CONVENIENCIA;Packs
Promotor;La excelente atencion telefonica que recibi por mi consulta sobre el servicio de internet que se habia interrumpido en mi celular;RELACIONAMIENTO;Atencion a Clientes
Detractor;Arreglas con un representante una cosa y termina siendo otra ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente;CONVENIENCIA;Beneficios
Detractor;Tengo que estar pidiendo descuentos ya que ponen un precio absurdo y cuando se vence la “promocion “ me matan ;CONVENIENCIA;Precio
Detractor;Asi ;CONVENIENCIA;Beneficios
Detractor;Los costos. Tengo 3 lineas en la empresa y no tengo descuento o es poco;CONVENIENCIA;Precio
Detractor;No tuve conexion el exterior ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Aumentos desmesurados;CONVENIENCIA;Precio
Promotor;Hace nuchos anos que uso el servicio a entera satisfaccion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;;CONVENIENCIA;Precio
Detractor;Muy caro el plan;CONVENIENCIA;Precio
Detractor;No tengo nada que no me ofrezca otra compania ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No tengo senal en ningun lado. Las llamadas de linea no me entran;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;El servicio es muy bueno, colo.asi tambien el soporte tecnico;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Excelente atencion de Lucia.;RELACIONAMIENTO;Atencion a Clientes
Promotor;buen servicio y buena atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precio elevado ;CONVENIENCIA;Precio
Pasivo;Trabajan muy bien, costo calidad ;CONVENIENCIA;Precio
Promotor;El costo y el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Costo del plan ;CONVENIENCIA;Precio
Promotor;Excelente ;CONVENIENCIA;Beneficios
Detractor;Muy caro;CONVENIENCIA;Precio
Promotor;Es muy bueno mejor mucho;RELACIONAMIENTO;Atencion a Clientes
Detractor;Carisimo;CONVENIENCIA;Precio
Promotor;Muy rapido y sencillo ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Anda bien;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;Costumbre ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Excelente atencion y servicio ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Subieron muchos los precios y cuando le pedi para que me baje el precio o promo me dijeron que no.;CONVENIENCIA;Precio
Detractor;Un asco los datos moviles, nunca andan estables, siempre fluctuan las frecuencias y no son nada confiables;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;El buen servicio;RELACIONAMIENTO;Atencion a Clientes
Detractor;Precio elevado;CONVENIENCIA;Precio
Detractor;Precio abusivo;CONVENIENCIA;Precio
Pasivo;Buen servicio tecnico. Algo caro el abono;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Precio
Pasivo;La tarifa es muy alta;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El servicio ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pesimo servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Conectividad;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;No tengo problemas;RELACIONAMIENTO;Atencion a Clientes
Detractor;Nunca tengo buena senal y aumente mis datos mi plan y m funciona peor ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es muy cara la facturacion ;CONVENIENCIA;Precio
Pasivo;Muy caro para mi que soy jubilada ;CONVENIENCIA;Precio
Promotor;;CONVENIENCIA;Beneficios
Detractor;Por el costo elevado ;CONVENIENCIA;Precio
Detractor;Es alto el costo ;CONVENIENCIA;Precio
Detractor;Muy costoso ;CONVENIENCIA;Precio
Promotor;excelente servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelencia;CONVENIENCIA;Promociones
Promotor;Porque no tengo inconvenientes con la compania;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No se;CONVENIENCIA;Beneficios
Detractor;Cada vez que me atienden no cumplen con lo pactado;CONVENIENCIA;Precio
Detractor;Sin gigss;CONVENIENCIA;Promociones
Detractor;No gue capaz de devolverme la llamada, para resolver las cosas;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buen servicio pero abonos altos;CONVENIENCIA;Precio
Detractor;No me llega el detalle de la factura, al correo donde si me llegan estas encuestas y que el monto de la misma.  ;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Problemas en la compra de un celular. El tiempo de espera en la verificacion del.equipo;CONVENIENCIA;Promociones
Pasivo;es muy caro;CONVENIENCIA;Precio
Pasivo;No hay motivos ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Soy de Formosa Cap..y hay momentos en la semana q se me corta internet..;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Pesimo servicio,poca senal de internet,lerda y en las llamadas siempre se escucha bajo y se corta;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precio;CONVENIENCIA;Precio
Detractor;Esq no te lo soluciona;CONVENIENCIA;Beneficios
Pasivo;el servicio subio mucho de precio los ultimos meses;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Siempre tengo senal donde voy;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Me ofrecen cosas que no aplica ni a mi plan ni al limite de compra ;CONVENIENCIA;Promociones
Detractor;Todo los meses aumentan;CONVENIENCIA;Precio
Promotor;Muy buen servicio.  Estoy conforme ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelentes gigas, super veloz;CONVENIENCIA;Promociones
Pasivo;El servicio es vueno pero caro;CONVENIENCIA;Precio
Pasivo;Es muy caro en comparacion con otras companias que tienen mejores promociones cuando tenes multiservicios;CONVENIENCIA;Promociones
Pasivo;Conforme, podria ser mejor ;RELACIONAMIENTO;Atencion a Clientes
Promotor;;CONVENIENCIA;Promociones
Promotor;Solo el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Caro, pero funciona bien!;RELACIONAMIENTO;Atencion a Clientes
Promotor;Precio y conectividad ;CONVENIENCIA;Precio
Detractor;es elevado el precio del servicio;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;El servicio..;CONVENIENCIA;Precio
Promotor;Dentro de lo malo es lo mejor;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;CONVENIENCIA;Precio
Promotor;Se gasta menos ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Cortes y muy mala conexion;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por lo conforme que me siento con la empresa. ;CONVENIENCIA;Promociones
Pasivo;Servicio que nunca se interrumpe.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;A veces no puedo saber mi saldo ;CONVENIENCIA;Planes
Pasivo;Muy buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;.no tengo senal nunca;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Cuando pase diciembre quiero volver a mi plan anterior ;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Servicio inestable y con incrementos permanentes de la tarifa ;CONVENIENCIA;Precio
Promotor;"eficiencia ,rapidez; practicidad , accesibilidad";RELACIONAMIENTO;Atencion a Clientes
Detractor;Me estan cobrando mucho por mis dos lines ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Resuelven inconvenientes;CONVENIENCIA;Promociones
Detractor;Muy mal el funcionamiento de las llamadas e Internet .;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por los gigas que contiene ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Aumentan todos los meses  el precio;CONVENIENCIA;Precio
Pasivo;Cuesta hablar con personas fisica;RELACIONAMIENTO;Atencion a Clientes
Detractor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Es muyyy caro el servicio y cuando tenes un problema no hay quien te atienda! ;CONVENIENCIA;Precio
Pasivo;Porque son flexibles;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelentes en todo ;RELACIONAMIENTO;Atencion a Clientes
Promotor;siempre atentos a la necesidad de cliente muchas gracias;RELACIONAMIENTO;Atencion a Clientes
Detractor;Siempre hay problemas con la facturacion ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Es muy caro y no cuidan al cliente;CONVENIENCIA;Precio
Detractor;Precio, los giga se consumen rapido, aumenta todo los meses;CONVENIENCIA;Precio
Pasivo;es muy caro con respecto a otras companias y servicio ;CONVENIENCIA;Precio
Promotor;Muy buena conectividad ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Precio
Detractor;Precio elevado;CONVENIENCIA;Promociones
Pasivo;Es muy caro;CONVENIENCIA;Precio
Promotor;Buen servicio buena senal buen precio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Es la compania que tengo hace mas de 20 anos. Sigue siendo buena;CONVENIENCIA;Planes
Detractor;costos muy altos comparados con otras empresas;CONVENIENCIA;Precio
Detractor;caro y falto de cobbertura;CONVENIENCIA;Precio
Detractor;Buen servicio pero muy  caro;CONVENIENCIA;Precio
Promotor;Buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;MUY BUENA ATENCION   Y SERVICI9;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No logro coneccion en ciertas zonas de la ciudad. Lo que complica mi trabajo;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;;CONVENIENCIA;Precio
Detractor;El pago es mucho, estoy pensando darle ee baja;CONVENIENCIA;Precio
Promotor;Muy bueno ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Brindan un mal servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Los precios, voy cambiar para Claro;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Porque aun no he podido resolver satisfactoriamente una falla administrativa por la cual me reclamaron falta de pago del mes de Octubre y por un error mio lo pague por segunda vez. Estoy a la espera de que me informen como recuperar la abonado de mas.;RELACIONAMIENTO;Atencion a Clientes
Promotor;La amabilidad, comprension, la solucion a mi consulta.;CONVENIENCIA;Planes
Promotor;Estoy muy conforme con el servicio!;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Hasta ahora no tuve mayores inconvenientes;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Poca senal;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Es muy buena ;CONVENIENCIA;Beneficios
Promotor;Me siento muy bien atendido como cliente;RELACIONAMIENTO;Atencion a Clientes
Promotor;siempre se puede mejorar;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Nose q paso donde yo vivo de repente de andar bien ya no tengo buena senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precio excesivo del abono;CONVENIENCIA;Precio
Detractor;No entiendo el motivo de la encuenta, yo no llame;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Exelente cobertura en el exterior.    ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;No tengo problema con la conexion y esta a mi alcance economicamente ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Es lenta y a veces no se logra hacer la llamada. Se interrumpe bastante;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Lento el internet ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Abono mas economico ;CONVENIENCIA;Precio
Promotor;Estoy conforme c el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Estoy conforme ;RELACIONAMIENTO;Atencion a Clientes
Promotor;La buena atencion de los representantes ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy bueno;CONVENIENCIA;Packs
Detractor;Carisimo y malo;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Estaba adherido al debito automatico y desde el mes de Enero de 2024 no me debitan de mi cuenta, genera atraso, pago fuera de termino, multa.. Y personal nno se hizo cargo jamas de solucionar, ademas tengo Flow y sucede lo mismo;RELACIONAMIENTO;Atencion a Clientes
Detractor;La primera persona parecia no tener ganas de hablar ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Se corta la senal ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Pocos megas;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Xq los aumentos son todo el tiempo;CONVENIENCIA;Planes
Promotor;porque estoy conforme con la atencion y los servicios que ofrecen;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No es muy bueno el servicio y senal q brinda ;CONVENIENCIA;Packs
Pasivo;Buena comunicacion y clara ;CONVENIENCIA;Precio
Detractor;Es lento en ocasiones ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;10;CONVENIENCIA;Precio
Detractor;Muy pocos megas ;CONVENIENCIA;Packs
Pasivo;buena atencion y promociones;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Eficientes;CONVENIENCIA;Precio
Promotor;Atencion;RELACIONAMIENTO;Atencion a Clientes
